ticket_id,customer_id,issue_type,severity,resolution_time_hrs,date
1,15624343,Login Issue,Medium,15.1,2026/07/27
2,15633930,Payment Failure,Critical,2.1,2025/10/30
3,15793854,Complaint,High,3.5,2025/09/15
4,15664543,Payment Failure,Low,89.1,2026/01/21
5,15815070,Fraud Alert,Medium,,2026/01/06
6,15638257,,Low,61.3,2025/12/26
7,15626948,App Bug,Low,73.5,2025/11/13
8,15661162,Payment Failure,Low,2.8,2025/10/25
9,15771728,Account Update,Medium,21.2,2026/08/15
10,15681506,Payment Failure,Low,91.3,2026/06/09
11,15808689,App Bug,High,12.0,2025/10/17
12,15666982,Loan Query,Low,53.1,2026/07/02
13,15759555,Fraud Alert,Low,76.9,2026/04/07
14,15685920,Complaint,High,3.4,2025/09/19
15,15710689,Card Problem,Medium,24.0,2025/09/18
16,15663987,Loan Query,Low,75.5,2025/10/20
17,15635125,App Bug,Low,,2025/12/23
18,15710257,Complaint,Low,55.7,2025/12/31
19,15574886,App Bug,Medium,13.1,2026/05/19
20,15630241,Login Issue,Low,71.7,2026/07/08
21,15687558,Complaint,Critical,2.8,2025/09/16
22,15609510,Payment Failure,High,6.5,2026/06/17
23,15803365,Account Update,High,-5.0,2025/12/13
24,15636626,App Bug,High,5.8,2026/08/01
25,15807312,Login Issue,Low,,2026/08/28
26,15666297,App Bug,Medium,19.1,2026/06/09
27,15710527,App Bug,Critical,1.0,2026/04/05
28,15576714,Complaint,Low,92.5,2025/12/24
29,15756850,Fraud Alert,Low,93.2,2026/04/20
30,15674343,Payment Failure,Medium,21.7,2026/07/01
31,15662397,Card Problem,High,9.0,2026/01/23
32,15624451,Account Update,High,1.6,2025/09/06
33,15631681,Card Problem,Critical,2.1,2025/11/23
34,15571415,Loan Query,Critical,1.9,2026/08/26
35,15753337,Fraud Alert,Low,54.6,2026/04/07
36,15791373,App Bug,Medium,30.1,2026/02/24
37,15578238,Account Update,High,3.6,2026/01/23
38,15596011,Account Update,Low,102.6,2025/11/21
39,15647311,Payment Failure,High,8.3,2025/12/22
40,15787189,Loan Query,Low,73.6,2026/02/22
41,15814268,App Bug,Medium,22.3,2025/10/25
42,15685844,,Medium,27.0,2025/10/20
43,15781989,App Bug,High,8.0,2026/03/16
44,15745295,Fraud Alert,Low,76.7,2025/10/22
45,15772329,Login Issue,Medium,7.7,2026/03/05
46,15744789,Payment Failure,Low,14.4,2026/02/26
47,15620988,Loan Query,Low,97.4,2026/07/09
48,15626233,Loan Query,Low,60.3,2026/01/16
49,15702377,Payment Failure,Low,55.0,2025/09/25
50,15681506,,Medium,25.1,2026/04/26
51,15757632,Login Issue,Low,68.2,2026/06/04
52,15668853,App Bug,Low,70.2,2025/11/05
53,15796071,Card Problem,High,,2026/03/15
54,15702337,Card Problem,Low,73.6,2025/10/13
55,15637315,App Bug,Low,83.1,2026/06/12
56,15796351,Payment Failure,Low,104.4,2026/01/31
57,15789582,Account Update,High,6.9,2026/07/21
58,15589361,Account Update,High,6.8,2026/07/16
59,15812324,Card Problem,High,10.8,2026/03/07
60,15789379,Loan Query,High,8.6,2026/06/25
61,15602551,Fraud Alert,High,7.2,2025/12/10
62,15691723,Login Issue,High,7.8,2026/08/29
63,15625761,Loan Query,Low,118.4,2025/10/08
64,15780870,App Bug,MEDIUM,17.6,2025/09/26
65,15677804,Card Problem,Critical,2.0,2026/08/07
66,15636444,Fraud Alert,High,8.2,2025/12/28
67,15630328,Loan Query,High,5.8,2026/01/29
68,15815295,Card Problem,Medium,29.8,2025/10/13
69,15613180,Login Issue,Medium,35.0,2025/12/31
70,15724127,Loan Query,Medium,21.8,2025/10/24
71,15771270,Complaint,Low,82.0,2026/03/16
72,15648951,Loan Query,Low,94.7,2026/01/23
73,15783019,Payment Failure,Low,99999.0,2026/04/23
74,15813871,Login Issue,Medium,43.8,2026/07/25
75,15583597,Login Issue,Low,72.3,2026/03/08
76,15733032,Login Issue,Medium,31.0,2025/11/25
77,15745399,Loan Query,Critical,2.3,2026/03/11
78,15758510,Loan Query,Medium,30.7,2026/03/03
79,15625021,Account Update,Medium,22.2,2025/12/19
80,15706186,Account Update,Low,92.8,2026/08/12
81,15748595,,Medium,22.1,2026/01/17
82,15738166,App Bug,High,6.9,2026/08/28
83,15591577,Loan Query,Medium,24.1,2026/08/18
