offer_id,customer_id,offer_type,accepted,date_offered
1,15784148,Cashback,True,2025/09/03
2,15687329,Cashback,True,2025/09/04
3,15738150,Investment Plan,True,2025/09/05
4,15602497,Cashback,False,2025/09/06
5,15777599,Insurance Bundle,False,2025/09/07
6,15758477,Cashback,False,2025/09/08
7,15645103,Insurance Bundle,False,2025/09/09
8,15696175,Personal Loan,False,2025/09/10
9,15800268,,True,2025/09/11
10,15658409,Personal Loan,False,2025/09/12
11,15637977,Cashback,False,2025/09/13
12,15567834,Investment Plan,False,2025/09/14
13,15782456,Insurance Bundle,True,2025/09/15
14,15699257,Credit Card Upgrade,false,2025/09/16
15,15681554,Investment Plan,False,2025/09/17
16,15731744,,Y,2025/09/18
17,15720463,Cashback,True,2025/09/19
18,15639946,Credit Card Upgrade,True,2025/09/20
19,15773876,Investment Plan,True,2025/09/21
20,15582180,Credit Card Upgrade,True,2025/09/22
21,15626507,Credit Card Upgrade,True,2025/09/23
22,15681956,Investment Plan,False,2025/09/24
23,15749528,Insurance Bundle,True,2025/09/25
24,15813862,Personal Loan,true,2025/09/26
25,15658435,Insurance Bundle,False,2025/09/27
26,15638329,Cashback,0,2025/09/28
27,15700864,Insurance Bundle,False,2025/09/29
28,15629545,Investment Plan,Yes,2025/09/30
29,15815316,Personal Loan,False,2025/10/01
30,15730161,Credit Card Upgrade,False,2025/10/02
31,15661591,,No,2025/10/03
32,15614934,Insurance Bundle,False,2025/10/04
33,15617065,Insurance Bundle,true,2025/10/05
34,15738063,Cashback,False,2025/10/06
35,15770214,Cashback,False,2025/10/07
36,15631310,Cashback,N,2025/10/08
37,15734626,Insurance Bundle,N,2025/10/09
38,15602994,Personal Loan,False,2025/10/10
39,15642022,Cashback,False,2025/10/11
40,15723851,Insurance Bundle,false,2025/10/12
41,15721303,Credit Card Upgrade,False,2025/10/13
42,15647333,Investment Plan,False,2025/10/14
43,15594502,Personal Loan,True,2025/10/15
44,15662091,Cashback,False,2025/10/16
45,15605737,Insurance Bundle,False,2025/10/17
46,15664793,Credit Card Upgrade,True,2025/10/18
47,15592994,Credit Card Upgrade,False,2025/10/19
48,15627232,Credit Card Upgrade,True,2025/10/20
49,15651802,Insurance Bundle,false,2025/10/21
50,15737452,Investment Plan,0,2025/10/22
51,15796179,Investment Plan,False,2025/10/23
52,15698324,Insurance Bundle,False,2025/10/24
53,15607330,Investment Plan,True,2025/10/25
54,15815316,Personal Loan,N,2025/10/26
55,15757821,Investment Plan,false,2025/10/27
56,15683553,Credit Card Upgrade,True,2025/10/28
57,15569641,Personal Loan,True,2025/10/29
58,15660263,Credit Card Upgrade,True,2025/10/30
59,15637599,Personal Loan,False,2025/10/31
60,15711316,,False,2025/11/01
61,15632051,Insurance Bundle,False,2025/11/02
62,15807432,Insurance Bundle,True,2025/11/03
63,15733119,Credit Card Upgrade,False,2025/11/04
64,15640442,Investment Plan,False,2025/11/05
65,15694852,Insurance Bundle,False,2025/11/06
66,15598586,Insurance Bundle,True,2025/11/07
67,15582154,Cashback,True,2025/11/08
68,15654495,Investment Plan,False,2025/11/09
69,15800856,Insurance Bundle,True,2025/11/10
70,15792008,Insurance Bundle,False,2025/11/11
71,15619087,Credit Card Upgrade,False,2025/11/12
72,15636626,Credit Card Upgrade,False,2025/11/13
73,15792453,Credit Card Upgrade,False,2025/11/14
74,15763194,Cashback,False,2025/11/15
75,15654025,Insurance Bundle,True,2025/11/16
76,15754053,Cashback,True,2025/11/17
77,15581736,Personal Loan,True,2025/11/18
78,15785865,Cashback,False,2025/11/19
79,15743673,Personal Loan,False,2025/11/20
80,15624451,Insurance Bundle,False,2025/11/21
81,15568595,Cashback,False,2025/11/22
82,15742504,Personal Loan,False,2025/11/23
83,15625047,Credit Card Upgrade,True,2025/11/24
84,15672299,Cashback,True,2025/11/25
85,15813660,Cashback,True,2025/11/26
86,15738605,Credit Card Upgrade,False,2025/11/27
87,15737385,Cashback,False,2025/11/28
88,15566467,Credit Card Upgrade,1,2025/11/29
89,15699550,Credit Card Upgrade,False,2025/11/30
90,15584899,Personal Loan,False,2025/12/01
91,15812518,Cashback,false,2025/12/02
92,15737782,Investment Plan,False,2025/12/03
93,15764892,Investment Plan,False,2025/12/04
94,15679770,Credit Card Upgrade,False,2025/12/05
95,15676707,Cashback,False,2025/12/06
96,15570134,Credit Card Upgrade,False,2025/12/07
97,15661548,Insurance Bundle,Y,2025/12/08
98,15590337,Cashback,False,2025/12/09
99,15588928,Cashback,False,2025/12/10
100,15675964,Insurance Bundle,0,2025/12/11
101,15736769,Investment Plan,False,2025/12/12
102,15705506,Insurance Bundle,False,2025/12/13
103,15791700,Insurance Bundle,N,2025/12/14
104,15708917,Personal Loan,N,2025/12/15
105,15573893,,True,2025/12/16
106,15602043,Insurance Bundle,False,2025/12/17
107,15599386,Insurance Bundle,False,2025/12/18
108,15595766,Credit Card Upgrade,True,2025/12/19
109,15742504,Personal Loan,False,2025/12/20
110,15740175,Personal Loan,False,2025/12/21
111,15609070,Insurance Bundle,False,2025/12/22
112,15752694,Cashback,False,2025/12/23
113,15573851,Investment Plan,False,2025/12/24
114,15692137,Personal Loan,False,2025/12/25
115,15587421,Investment Plan,False,2025/12/26
116,15745624,Cashback,False,2025/12/27
117,15753679,Investment Plan,0,2025/12/28
118,15773789,Credit Card Upgrade,False,2025/12/29
119,15633854,Credit Card Upgrade,False,2025/12/30
120,15782456,Cashback,True,2025/12/31
121,15680706,Cashback,False,2026/01/01
122,15574842,Credit Card Upgrade,Y,2026/01/02
123,15714240,Credit Card Upgrade,True,2026/01/03
124,15721592,Cashback,false,2026/01/04
125,15796569,Investment Plan,False,2026/01/05
126,15717560,Credit Card Upgrade,True,2026/01/06
127,15673790,Cashback,True,2026/01/07
128,15676909,Credit Card Upgrade,False,2026/01/08
129,15770309,Investment Plan,N,2026/01/09
130,15669987,Credit Card Upgrade,False,2026/01/10
131,15753566,Insurance Bundle,False,2026/01/11
132,15712551,Investment Plan,False,2026/01/12
133,15775339,Cashback,N,2026/01/13
134,15751057,Personal Loan,False,2026/01/14
135,15695699,Cashback,False,2026/01/15
136,15573086,Investment Plan,True,2026/01/16
137,15782418,Personal Loan,False,2026/01/17
138,15638257,Cashback,True,2026/01/18
139,15578096,Cashback,false,2026/01/19
140,15575676,Cashback,False,2026/01/20
141,15591577,Personal Loan,False,2026/01/21
142,15704081,Insurance Bundle,false,2026/01/22
143,15741988,Insurance Bundle,False,2026/01/23
144,15682778,Insurance Bundle,False,2026/01/24
145,15617065,Insurance Bundle,False,2026/01/25
146,15622182,Credit Card Upgrade,True,2026/01/26
147,15607395,Insurance Bundle,False,2026/01/27
148,15780254,Credit Card Upgrade,False,2026/01/28
149,15752507,Credit Card Upgrade,True,2026/01/29
150,15692291,Cashback,False,2026/01/30
151,15726289,Personal Loan,False,2026/01/31
152,15601383,Investment Plan,False,2026/02/01
153,15687372,Credit Card Upgrade,False,2026/02/02
154,15669987,Personal Loan,False,2026/02/03
155,15579112,Credit Card Upgrade,True,2026/02/04
156,15726776,Personal Loan,False,2026/02/05
157,15570931,Personal Loan,False,2026/02/06
158,15614934,Credit Card Upgrade,True,2026/02/07
159,15662532,,False,2026/02/08
160,15789097,Investment Plan,False,2026/02/09
