usage_id,customer_id,product_type,monthly_balance,num_products,date
1,15665177,Checking,445.51,2,2026/04/08
2,15756472,Savings,,1,2025/12/19
3,15589881,Savings,320.82,2,2026/04/05
4,15584091,Savings,54886.26,2,2026/08/27
5,15653306,Checking,60361.31,1,2026/03/12
6,15762392,Checking,103960.52,1,2026/03/08
7,15725639,Credit Card,130175.17,1,2026/03/27
8,15725002,Checking,603.99,2,2026/01/24
9,15568982,Savings,986.58,2,2026/04/21
10,15802466,Credit Card,868.64,2,2025/12/04
11,15713426,Credit Card,47564.52,1,2026/06/22
12,15763612,Loan,73452.2,2,2025/11/09
13,15708693,Loan,1092.37,2,2026/06/24
14,15642816,CREDIT CARD,22880.77,2,2026/08/20
15,15798943,credit card,778.55,2,2025/12/29
16,15608528,Credit Card,732.74,4,2025/10/24
17,15662736,Checking,195364.98,2,2026/01/19
18,15733966,Checking,100108.59,1,2026/01/01
19,15658980,Savings,136321.74,1,2026/06/14
20,15815271,Checking,49796.95,3,2026/04/12
21,15656597,Investment,69668.58,2,2026/03/17
22,15626900,Loan,128853.81,1,2025/12/12
23,15668629,Investment,,4,2025/11/16
24,15580493,Loan,45112186.87,1,2025/11/18
25,15672027,Investment,49132.6,2,2026/05/03
26,15786196,CreditCard,54529.63,5,2025/09/07
27,15646726,Savings,43.32,1,2025/12/02
28,15721303,Checking,134453.44,1,2026/04/06
29,15707962,Loan,37108.73,2,2026/05/16
30,15725906,Savings,761.69,1,2025/11/10
31,15735106,Investment,84050.32,2,2026/07/22
32,15602735,Checking,27804.44,4,2026/05/25
33,15671334,Loan,91.21,1,2026/06/03
34,15604482,Loan,184977.73,1,2026/02/11
35,15629010,Checking,92546.59,1,2026/05/10
36,15735221,Credit Card ,989.9,2,2026/02/03
37,15600173,Loan,1101.45,2,2026/01/09
38,15751628,Savings,77421.25,2,2026/06/17
39,15589563,Savings,83179.51,2,2026/06/20
40,15732791,Loan,195310.73,1,2025/09/27
41,15739046,Credit Card,119691.45,1,2026/03/25
42,15723873,Savings,104814.81,1,2025/10/23
43,15594556,Investment,939.2,2,2026/08/22
44,15799042,Credit Card,126.32,1,2025/11/25
45,15605916,Savings,631.14,1,2025/10/03
46,15648479,Loan,605.03,2,2025/12/22
47,15675585,Investment,52582.36,2,2026/01/11
48,15770435,Savings,62150.68,2,2026/05/04
49,15603942,Loan,,3,2026/07/22
50,15601324,Savings,636.76,2,2025/10/22
51,15668747,Savings,73806.37,1,2026/04/21
52,15771543,Savings,95930.12,1,2026/02/21
53,15722212,Savings,755.39,2,2026/01/14
54,15662571,Checking,170.66,2,2026/03/06
55,15656096,Credit Card,53277.79,2,2026/03/06
56,15686909,Savings,214459.92,1,2026/06/16
57,15603883,Loan,622.66,2,2026/06/15
58,15685476,Loan,114526.52,1,2026/01/12
59,15781530,Loan,236.5,2,2026/02/26
60,15634267,Investment ,437.18,2,2025/09/13
61,15627305,Investment,916.15,1,2026/04/01
62,15812422,Investment,1417.87,2,2025/11/04
63,15749019,Credit Card,47303.24,2,2026/03/01
64,15711249,Savings,1325.4,2,2026/08/16
65,15600510,Loan,53861.13,2,2026/07/10
66,15623202,Checking,67499.42,2,2025/12/13
67,15749638,Savings,106001.11,1,2026/06/25
68,15765902,Loan,66482.74,2,2026/06/24
69,15773421,Savings,194.63,2,2026/08/01
70,15764237,Checking,766.99,2,2026/08/01
71,15724402,Credit Card,421.24,2,2026/06/05
72,15725302,Credit Card,331.01,2,2025/12/01
73,15727361,Loan,650.99,2,2026/01/26
74,15649668,Loan,53445.43,2,2026/03/03
75,15730688,Loan,46292.39,2,2026/02/16
76,15654495,Credit Card,129690.79,1,2026/08/13
77,15768471,Loan,83089.93,1,2026/05/22
78,15624374,Loan,309.34,2,2026/05/10
79,15627360,Savings,152577.9,1,2026/04/19
80,15605020,Checking,106018.85,2,2025/10/13
81,15644005,Credit Card,194.48,2,2026/03/17
82,15653110,Checking,123313.81,1,2026/07/14
83,15652789,Loan,1072.14,2,2026/01/27
84,15686436,investment,330.61,2,2026/04/28
85,15804950,Savings,736.77,2,2026/07/23
86,15645942,Investment,1059.76,2,2025/11/16
87,15764661,Investment,338.81,1,2025/11/27
88,15648967,Loan,231082.06,1,2026/07/27
89,15602551,Investment,1361.43,2,2026/02/22
90,15702464,,101.49,1,2026/04/06
91,15749583,Investment,28812.66,3,2026/07/23
92,15628674,Credit Card,86328.38,1,2026/07/13
93,15768244,Credit Card,818.91,2,2026/06/22
94,15662494,Credit Card,105379.15,1,2026/03/29
95,15730469,Credit Card,75327.95,2,2025/10/09
96,15709252,Loan,140131.69,1,2025/10/13
97,15791452,Loan,561.92,2,2025/11/24
98,15805637,Investment,22821.78,3,2026/02/25
